open_time,open,high,low,close,volume,close_time,quote,no_trades,base_buy,quote_buy,ignore,date
1.60125E+12,10774.26,10950,10626,10696.12,50095.25173,1.60134E+12,544463219.6,686664,25219.07332,274111924.7,0,9/28/2020 5:30
1.60134E+12,10696.11,10867.54,10635.87,10840.48,41874.8984,1.60142E+12,449345822.5,587576,19896.07621,213544159.9,0,9/29/2020 5:30
1.60142E+12,10840.58,10849.34,10665.13,10776.59,39596.02732,1.60151E+12,425279696.3,595383,18712.05971,200976719.4,0,9/30/2020 5:30
1.60151E+12,10776.59,10920,10437,10619.13,60866.33289,1.6016E+12,652168989.5,794855,28449.9751,304779535.4,0,10/1/2020 5:30
1.6016E+12,10619.13,10664.64,10374,10570.4,50130.39371,1.60168E+12,526864379.3,777193,24123.90255,253507685.5,0,10/2/2020 5:30
1.60168E+12,10570.4,10603.56,10496.46,10542.06,22298.22134,1.60177E+12,235160884.6,381329,10752.46288,113392722.8,0,10/3/2020 5:30
1.60177E+12,10542.07,10696.87,10517.87,10666.63,23212.0016,1.60186E+12,246252050.9,377553,12123.27565,128619845.1,0,10/4/2020 5:30
1.60186E+12,10666.62,10798,10615.64,10792.21,34025.76165,1.60194E+12,364158510.2,483340,15551.58439,166457546.9,0,10/5/2020 5:30
1.60194E+12,10792.2,10800,10525,10599.66,48674.74047,1.60203E+12,520051256.1,734526,23189.6899,247740447.6,0,10/6/2020 5:30
1.60203E+12,10599.65,10681.87,10546.17,10666.39,32811.99028,1.60212E+12,348298562.9,503440,15783.35568,167548410.8,0,10/7/2020 5:30
1.60212E+12,10666.4,10950,10530.41,10925.57,51959.69157,1.6022E+12,559311760.4,659291,26482.59953,285240421,0,10/8/2020 5:30
1.6022E+12,10925.44,11104.64,10829,11050.64,48240.07324,1.60229E+12,530822321.5,635681,25658.6314,282409996,0,10/9/2020 5:30
1.60229E+12,11050.64,11491,11050.51,11293.22,43648.03694,1.60237E+12,494785212.2,698561,22807.20465,258432465.8,0,10/10/2020 5:30
1.60237E+12,11293.22,11445,11221,11369.02,29043.85134,1.60246E+12,329927755,509714,14470.44427,164384653.1,0,10/11/2020 5:30
1.60246E+12,11369.02,11720.01,11172,11528.25,52825.28371,1.60255E+12,604779845.8,740823,26865.92932,307665447.3,0,10/12/2020 5:30
1.60255E+12,11528.24,11557,11300,11420.56,42205.28371,1.60263E+12,482663390.7,618262,19346.15861,221257357.6,0,10/13/2020 5:30
1.60263E+12,11420.57,11547.98,11280,11417.89,41415.10602,1.60272E+12,472007015.7,590025,19070.05731,217375960.3,0,10/14/2020 5:30
1.60272E+12,11417.89,11617.34,11250.83,11505.12,48760.71768,1.60281E+12,556436445.6,662386,24019.23767,274171016.9,0,10/15/2020 5:30
1.60281E+12,11505.13,11541.15,11200,11319.32,48797.7495,1.60289E+12,553211001.6,693210,22821.59348,258752919.3,0,10/16/2020 5:30
1.60289E+12,11319.24,11402.42,11255,11360.2,22368.91524,1.60298E+12,253582776,365973,10318.02461,116996094.1,0,10/17/2020 5:30
1.60298E+12,11360.31,11505,11346.22,11503.14,23284.04119,1.60307E+12,266150824.3,346946,12396.1271,141743879.1,0,10/18/2020 5:30
1.60307E+12,11503.14,11823.99,11407.96,11751.47,47414.53469,1.60315E+12,550728683.8,650960,24716.39514,287236347.5,0,10/19/2020 5:30
1.60315E+12,11751.46,12038.38,11677.59,11909.99,62134.75066,1.60324E+12,737425592.1,906111,31911.70883,378905889,0,10/20/2020 5:30
1.60324E+12,11910,13217.68,11886.95,12780.96,114584.4568,1.60332E+12,1437122187,1453620,59033.67176,740274649.3,0,10/21/2020 5:30
1.60332E+12,12780.75,13185,12678.08,12968.52,70038.82414,1.60341E+12,905778888.9,1035811,33259.49504,430203750,0,10/22/2020 5:30
1.60341E+12,12968.84,13027.69,12720.08,12923.07,50386.99984,1.6035E+12,650680239.1,699313,24685.9255,318827712.2,0,10/23/2020 5:30
1.6035E+12,12923.06,13166.73,12870,13111.73,35952.20907,1.60358E+12,468299521.8,536821,18382.74458,239455378.1,0,10/24/2020 5:30
1.60358E+12,13111.73,13350,12888,13028.83,38481.5795,1.60367E+12,502672049.2,610498,17988.7671,235115943.8,0,10/25/2020 5:30
1.60367E+12,13029.64,13238.81,12765,13052.19,60951.67299,1.60376E+12,794395722.5,818144,29609.9947,385986654.7,0,10/26/2020 5:30
1.60376E+12,13052.15,13789.29,13019.87,13636.17,80796.554,1.60384E+12,1085214438,1003550,39833.62659,534892605.7,0,10/27/2020 5:30
1.60384E+12,13636.16,13859.48,12888,13266.4,94440.56123,1.60393E+12,1263487953,1234511,43387.69228,580505216.9,0,10/28/2020 5:30
1.60393E+12,13266.4,13642.91,12920.77,13455.7,74872.60213,1.60402E+12,997867948.9,1008433,37203.24566,495772429.4,0,10/29/2020 5:30
1.60402E+12,13455.69,13669.98,13115,13560.1,70657.77888,1.6041E+12,946818817.6,1060387,34438.58889,461667557.4,0,10/30/2020 5:30
1.6041E+12,13560.1,14100,13411.5,13791,67339.23852,1.60419E+12,927048458.5,1022202,35823.22565,493309455.8,0,10/31/2020 5:30
1.60419E+12,13791,13895,13603,13761.5,36285.64853,1.60428E+12,499124369.1,606248,17839.54476,245432626.6,0,11/1/2020 5:30
1.60428E+12,13761.49,13830,13195.05,13549.37,64566.42191,1.60436E+12,873629993.8,869850,29243.23366,395698601.6,0,11/2/2020 5:30
1.60436E+12,13549.63,14066.11,13284.99,14023.53,74115.63079,1.60445E+12,1009402088,1052569,38332.71333,522431362.9,0,11/3/2020 5:30
1.60445E+12,14023.53,14259,13525,14144.01,93016.98826,1.60453E+12,1293872665,1212959,45333.6616,630831907.1,0,11/4/2020 5:30
1.60453E+12,14144.01,15750,14093.56,15590.02,143741.5227,1.60462E+12,2131865609,1736055,72196.12712,1071067717,0,11/5/2020 5:30
1.60462E+12,15590.02,15960,15166,15579.92,122618.1977,1.60471E+12,1909660729,1654968,58528.76053,911733812.3,0,11/6/2020 5:30
1.60471E+12,15579.93,15753.52,14344.22,14818.3,101431.2066,1.60479E+12,1536510177,1557021,46204.87062,700220031.3,0,11/7/2020 5:30
1.60479E+12,14818.3,15650,14703.88,15475.1,65547.17857,1.60488E+12,998031373.8,998773,31175.66089,474978556.4,0,11/8/2020 5:30
